"Proteins Unique Sequence ID"	"Accession"	"Abundances Normalized F7 Sample"	"Abundances Normalized F8 Sample"	"Found in Sample F7 Sample"	"Found in Sample F8 Sample"	"Abundance Ratio F7  F8"	"Abundance Ratio log2 F7  F8"	"Abundances Grouped F7"	"Abundances Grouped F8"
"-4348701723890817105"	"RSAN_045130.P49699"	"37379.576044309084"	" 41036.068359375"	"Peak Found"	" Medium"	"0.907"	"-0.14"	"37379.576044309084"	" 41036.068359375"
"-4336609809461103540"	"RSAN_043211.P47221"	"39869.30633241513"	" 48163.7421875"	"Peak Found"	" High"	"0.828"	"-0.27"	"39869.30633241513"	" 48163.7421875"
"-4334843490629650921"	"RSAN_029459.P29344"	"89887.58038124196"	" 81020.31380208333"	"High"	" High"	"1.151"	"0.20"	"89887.58038124196"	" 81020.31380208333"
"-4295432438613128744"	"RSAN_046466.P51479"	"23497347.895584166"	" 40815071.01953125"	"High"	" High"	"0.914"	"-0.13"	"23497347.895584166"	" 40815071.01953125"
"-4285693483006265643"	"RSAN_051287.P57812"	"455519.1157600907"	" 482966.2135416667"	"High"	" High"	"0.984"	"-0.02"	"455519.1157600907"	" 482966.2135416667"
"-4194153465516793879"	"RSAN_031295.P31614"	"1018985.4676006861"	" 1276587.625"	"High"	" High"	"0.810"	"-0.30"	"1018985.4676006861"	" 1276587.625"
"-4172571103422023299"	"RSAN_057667.P66260"	"402772.9745728819"	" 647751.3671875"	"High"	" High"	"1.073"	"0.10"	"402772.9745728819"	" 647751.3671875"
"-4155367153969888648"	"P13645"	"32033513.864521116"	" 28632020.606119793"	"High"	" High"	"1.690"	"0.76"	"32033513.864521116"	" 28632020.606119793"
"-4139631518313335818"	"RSAN_048875.P54629"	"81841.68195777462"	" 110330.47135416667"	"Peak Found"	" High"	"0.869"	"-0.20"	"81841.68195777462"	" 110330.47135416667"
"-4137666002023082164"	"P00761"	"294184634.35454935"	" 491142428.1432292"	"High"	" High"	"0.806"	"-0.31"	"294184634.35454935"	" 491142428.1432292"
"-4117958264885391112"	"RSAN_047069.P52235"	"7057827.966523971"	" 5255532"	"Peak Found"	" High"	"1.343"	"0.43"	"7057827.966523971"	" 5255532"
"-4109182655536478491"	"RSAN_057588.P66170"	"114928.54192417426"	" 126778.41796875"	"Peak Found"	" High"	"0.907"	"-0.14"	"114928.54192417426"	" 126778.41796875"
"-4071222587334649365"	"RSAN_039606.P42580"	"266914.31021595135"	" 302771.328125"	"High"	" High"	"0.809"	"-0.31"	"266914.31021595135"	" 302771.328125"
"-4023228725793131957"	"RSAN_055913.P63970"	"45218.88691481358"	" 71548.87630208333"	"Peak Found"	" High"	"0.881"	"-0.18"	"45218.88691481358"	" 71548.87630208333"
"-4009170409002719956"	"RSAN_056282.P64423"	"2424785.545613998"	" 1388368.3268229167"	"High"	" High"	"1.021"	"0.03"	"2424785.545613998"	" 1388368.3268229167"
"-3980314117452886183"	"P62979"	"2168750.9533440513"	" 1908210.533203125"	"High"	" Peak Found"	"1.442"	"0.53"	"2168750.9533440513"	" 1908210.533203125"
"-3973820604267494826"	"RSAN_031345.P31673"	"72989.78802153312"	" 83312.390625"	"High"	" High"	"0.808"	"-0.31"	"72989.78802153312"	" 83312.390625"
"-3973589334991488607"	"P04264"	"98910931.74296217"	" 23947699.936848957"	"High"	" High"	"3.966"	"1.99"	"98910931.74296217"	" 23947699.936848957"
"-3951915642656951204"	"RSAN_049752.P55837"	"60371.09218009562"	" 74531.86848958333"	"Peak Found"	" High"	"0.855"	"-0.23"	"60371.09218009562"	" 74531.86848958333"
"-3899668668484248164"	"RSAN_041251.P44676"	"3169666.9691210687"	" 3884161.0052083335"	"High"	" High"	"0.823"	"-0.28"	"3169666.9691210687"	" 3884161.0052083335"
"-3844093516526352723"	"RSAN_050408.P56676"	"81396.41100217657"	" 62410.3671875"	"High"	" High"	"1.264"	"0.34"	"81396.41100217657"	" 62410.3671875"
"-3761571748371375287"	"RSAN_041688.P45235"	"119566.97230589594"	" 124697.6015625"	"High"	" High"	"1.019"	"0.03"	"119566.97230589594"	" 124697.6015625"
"-3746953790152688623"	"RSAN_034182.P35456"	"84970.13939637708"	" 87257.75455729167"	"High"	" High"	"0.840"	"-0.25"	"84970.13939637708"	" 87257.75455729167"
"-3739052106158881808"	"RSAN_049127.P54995"	"124350.46663091161"	" 103868.47395833333"	"High"	" High"	"0.958"	"-0.06"	"124350.46663091161"	" 103868.47395833333"
"-3714468650223075423"	"RSAN_030401.P30539"	"61632.43874669691"	" 47757.967447916664"	"Peak Found"	" High"	"1.628"	"0.70"	"61632.43874669691"	" 47757.967447916664"
"-3674016433927487468"	"P02663"	"3186283.308897253"	" 4120950.6748046875"	"High"	" High"	"0.804"	"-0.32"	"3186283.308897253"	" 4120950.6748046875"
"-3610740395388562288"	"RSAN_039218.P42107"	"146756.98745095386"	" 80732.9921875"	"Peak Found"	" High"	"1.818"	"0.86"	"146756.98745095386"	" 80732.9921875"
"-3563232400994661307"	"RSAN_031839.P32333"	""	" "	"n/a"	" High"	""	""	""	" "
"-3524650561860492702"	"RSAN_048549.P54211"	""	" "	"n/a"	" High"	""	""	""	" "
"-3523580467058107926"	"RSAN_048056.P53530"	"121258.53629789867"	" 79632.8359375"	"High"	" High"	"1.382"	"0.47"	"121258.53629789867"	" 79632.8359375"
"-3518569329474684638"	"RSAN_031410.P31752"	"149821.8284317072"	" 198688.19661458334"	"High"	" High"	"0.676"	"-0.57"	"149821.8284317072"	" 198688.19661458334"
"-3484746600277455931"	"RSAN_032023.P32614"	"44000.030904099985"	" 59557.576171875"	"Peak Found"	" High"	"0.792"	"-0.34"	"44000.030904099985"	" 59557.576171875"
"-3453233279387987760"	"RSAN_048071.P53591"	"397131.5029376543"	" 381587.9205729167"	"Peak Found"	" High"	"1.084"	"0.12"	"397131.5029376543"	" 381587.9205729167"
"-3441468763565058912"	"RSAN_034254.P35553"	"29484.843111293445"	" 40289.0498046875"	"Peak Found"	" High"	"0.726"	"-0.46"	"29484.843111293445"	" 40289.0498046875"
"-3411135367755372177"	"RSAN_054615.P62237"	"73397.75337480917"	" 59940.32421875"	"High"	" High"	"1.097"	"0.13"	"73397.75337480917"	" 59940.32421875"
"-3390851977015922866"	"RSAN_032762.P33608"	"103291.3549238076"	" 142162.78125"	"High"	" High"	"0.861"	"-0.22"	"103291.3549238076"	" 142162.78125"
"-3353954422919409453"	"RSAN_053730.P61059"	"854986.6729528448"	" 326437.0364583333"	"High"	" High"	"1.108"	"0.15"	"854986.6729528448"	" 326437.0364583333"
"-3293377597313974590"	"RSAN_031299.P31621"	"5137747.888979519"	" 1314505.296875"	"High"	" High"	"3.909"	"1.97"	"5137747.888979519"	" 1314505.296875"
"-3233100753138520467"	"RSAN_048071.P53567"	"424407.9842219835"	" 369627.8111979167"	"High"	" Peak Found"	"1.122"	"0.17"	"424407.9842219835"	" 369627.8111979167"
"-3210223985607866881"	"RSAN_035992.P37890"	"830697.5885139792"	" 329088.44140625"	"High"	" High"	"1.861"	"0.90"	"830697.5885139792"	" 329088.44140625"
"-3051746428208981658"	"RSAN_048277.P53831"	"26918.613970626113"	" 50093.422526041664"	"Peak Found"	" High"	"0.980"	"-0.03"	"26918.613970626113"	" 50093.422526041664"
"-2945144641527116718"	"RSAN_048922.P54692"	"184821.2336231341"	" 162468.53385416666"	"High"	" Peak Found"	"1.095"	"0.13"	"184821.2336231341"	" 162468.53385416666"
"-2894873844614535529"	"RSAN_049127.P54994"	"124350.46663091161"	" 103868.47395833333"	"High"	" High"	"0.958"	"-0.06"	"124350.46663091161"	" 103868.47395833333"
"-2863333308741718947"	"RSAN_039954.P43004"	"183614.64829639593"	" 84392.75911458333"	"Peak Found"	" High"	"1.216"	"0.28"	"183614.64829639593"	" 84392.75911458333"
"-2859050483267851665"	"RSAN_026437.P67679"	"4406644.500981959"	" 2382306.7109375"	"High"	" High"	"1.765"	"0.82"	"4406644.500981959"	" 2382306.7109375"
"-2832992937649417481"	"RSAN_034744.P36183"	"35569.35816087515"	" 38429.03125"	"Peak Found"	" High"	"0.898"	"-0.16"	"35569.35816087515"	" 38429.03125"
"-2801206217734350682"	"RSAN_034744.P36182"	"35569.35816087515"	" 38429.03125"	"Peak Found"	" High"	"0.898"	"-0.16"	"35569.35816087515"	" 38429.03125"
"-2763306875842628864"	"RSAN_056816.P65176"	"1439854.9172186058"	" 844458.2473958334"	"High"	" High"	"2.173"	"1.12"	"1439854.9172186058"	" 844458.2473958334"
"-2761647676892231583"	"P68871"	"588116.7404544418"	" 532928.21875"	"High"	" High"	"1.104"	"0.14"	"588116.7404544418"	" 532928.21875"
"-2756386622536843362"	"RSAN_045037.P49581"	"97289.21319213716"	" 57314.994140625"	"High"	" High"	"1.354"	"0.44"	"97289.21319213716"	" 57314.994140625"
"-2677537242040411203"	"RSAN_028162.P27690"	"43053.37450106915"	" 54756.470052083336"	"Peak Found"	" High"	"0.876"	"-0.19"	"43053.37450106915"	" 54756.470052083336"
"-2666096141583542942"	"RSAN_048071.P53574"	"424407.9842219835"	" 369627.8111979167"	"High"	" Peak Found"	"1.122"	"0.17"	"424407.9842219835"	" 369627.8111979167"
"-2618679762531220374"	"Q14533"	"93853.31567508704"	" 27706.176432291668"	"High"	" Peak Found"	"2.433"	"1.28"	"93853.31567508704"	" 27706.176432291668"
"-2516219842867704392"	"RSAN_036249.P38208"	"7203602.507631232"	" 6856661"	"High"	" High"	"1.340"	"0.42"	"7203602.507631232"	" 6856661"
"-2511975880613798131"	"RSAN_048509.P54166"	"66527.68941401794"	" 86807.65755208333"	"Peak Found"	" High"	"0.810"	"-0.30"	"66527.68941401794"	" 86807.65755208333"
"-2488504382561934974"	"RSAN_029906.P29907"	"756477.5607296997"	" 642108.4010416666"	"High"	" High"	"1.148"	"0.20"	"756477.5607296997"	" 642108.4010416666"
"-2467148726297855099"	"RSAN_029531.P29428"	"101507.27381605678"	" 93889.30924479167"	"High"	" High"	"1.023"	"0.03"	"101507.27381605678"	" 93889.30924479167"
"-2464262743075401936"	"RSAN_052988.P60085"	"1685632.420683785"	" 1230786.4388020833"	"High"	" High"	"1.499"	"0.58"	"1685632.420683785"	" 1230786.4388020833"
"-2440418172700689582"	"RSAN_036597.P38642"	"87627.46772870007"	" 93961.37109375"	"High"	" High"	"0.908"	"-0.14"	"87627.46772870007"	" 93961.37109375"
"-2407850858221441550"	"RSAN_028864.P28553"	"301971.17439856677"	" 214629.21875"	"High"	" High"	"1.407"	"0.49"	"301971.17439856677"	" 214629.21875"
"-2379292623870310978"	"RSAN_038946.P41776"	"396728.6374430481"	" 503459.6640625"	"High"	" High"	"0.860"	"-0.22"	"396728.6374430481"	" 503459.6640625"
"-2353682556789411905"	"RSAN_030915.P31177"	"557129.6529615946"	" 765705.2395833334"	"High"	" High"	"0.998"	"-0.00"	"557129.6529615946"	" 765705.2395833334"
"-2343490684506101953"	"RSAN_027081.P26339"	"94317.18497111276"	" 105667.92708333333"	"High"	" High"	"0.824"	"-0.28"	"94317.18497111276"	" 105667.92708333333"
"-2293718492392299747"	"RSAN_031761.P32230"	"49305.969475106336"	" 53686.8515625"	"High"	" Peak Found"	"0.758"	"-0.40"	"49305.969475106336"	" 53686.8515625"
"-2289042144124848803"	"RSAN_054158.P61575"	"275859.2512875777"	" 305757.1080729167"	"Peak Found"	" High"	"0.842"	"-0.25"	"275859.2512875777"	" 305757.1080729167"
"-2278437623054471940"	"RSAN_032363.P33107"	"535813.9961900972"	" 569686.5286458334"	"High"	" High"	"0.964"	"-0.05"	"535813.9961900972"	" 569686.5286458334"
"-2222303807447963224"	"RSAN_048053.P53527"	"38564.95183295965"	" 42335.970052083336"	"Peak Found"	" High"	"0.813"	"-0.30"	"38564.95183295965"	" 42335.970052083336"
"-2185883185668988002"	"RSAN_043160.P47152"	"77588.93470929767"	" 76241.50390625"	"Peak Found"	" High"	"1.068"	"0.10"	"77588.93470929767"	" 76241.50390625"
"-2179569992450197739"	"RSAN_032762.P33607"	"103291.3549238076"	" 142162.78125"	"High"	" High"	"0.861"	"-0.22"	"103291.3549238076"	" 142162.78125"
"-2176289056197888416"	"RSAN_028422.P28012"	"1044417.2510360568"	" 846206.1041666666"	"High"	" High"	"1.111"	"0.15"	"1044417.2510360568"	" 846206.1041666666"
"-2171444640744134572"	"RSAN_034643.P36047"	"67571.40894525914"	" 79165.0625"	"High"	" High"	"0.848"	"-0.24"	"67571.40894525914"	" 79165.0625"
"-2118838771083511104"	"RSAN_033181.P34169"	"275735.2315551452"	" 242799.83333333334"	"High"	" High"	"0.931"	"-0.10"	"275735.2315551452"	" 242799.83333333334"
"-2079376476268346079"	"RSAN_026359.P25986"	"76457.5975832807"	" 72569.4453125"	"Peak Found"	" High"	"1.044"	"0.06"	"76457.5975832807"	" 72569.4453125"
"-2023532076196531750"	"RSAN_048071.P53569"	"424407.9842219835"	" 369627.8111979167"	"High"	" Peak Found"	"1.122"	"0.17"	"424407.9842219835"	" 369627.8111979167"
"-2023129085232699580"	"O77727"	"2393344.7525594807"	" 566109.7786458334"	"High"	" High"	"3.232"	"1.69"	"2393344.7525594807"	" 566109.7786458334"
"-1960594504293409267"	"RSAN_052541.P59444"	"403436.1186096531"	" 124059.921875"	"High"	" Peak Found"	"3.252"	"1.70"	"403436.1186096531"	" 124059.921875"
"-1953092249713619955"	"RSAN_039782.P42794"	"45377.864116700395"	" 54222.185546875"	"Peak Found"	" High"	"0.833"	"-0.26"	"45377.864116700395"	" 54222.185546875"
"-1797238316064510852"	"RSAN_039611.P42587"	"52547.90217290944"	" 47741.783854166664"	"High"	" High"	"1.246"	"0.32"	"52547.90217290944"	" 47741.783854166664"
"-1781299140686067406"	"RSAN_049926.P56060"	"83906.89520598525"	" 103289.81380208333"	"Peak Found"	" High"	"0.957"	"-0.06"	"83906.89520598525"	" 103289.81380208333"
"-1760579279242454459"	"RSAN_035451.P37109"	"407245.9114287241"	" 244733.109375"	"High"	" Peak Found"	"1.664"	"0.73"	"407245.9114287241"	" 244733.109375"
"-1720885304836939480"	"RSAN_054660.P62291"	"1907250.8510957093"	" 1954199.0807291667"	"High"	" High"	"1.100"	"0.14"	"1907250.8510957093"	" 1954199.0807291667"
"-1668973392132002117"	"RSAN_055546.P63512"	"50274.0119273515"	" 111598.48046875"	"Peak Found"	" High"	"0.591"	"-0.76"	"50274.0119273515"	" 111598.48046875"
"-1632575742460151310"	"RSAN_032023.P32623"	"44000.030904099985"	" 59557.576171875"	"Peak Found"	" High"	"0.792"	"-0.34"	"44000.030904099985"	" 59557.576171875"
"-1591264563432012218"	"RSAN_056303.P64476"	"236986.02690496112"	" 220024.57096354166"	"High"	" High"	"0.953"	"-0.07"	"236986.02690496112"	" 220024.57096354166"
"-1572343401173884409"	"RSAN_053002.P60101"	"78637571.44082677"	" 131920936.26822917"	"High"	" High"	"0.875"	"-0.19"	"78637571.44082677"	" 131920936.26822917"
"-1549676345220718052"	"RSAN_031295.P31617"	"1018985.4676006861"	" 1276587.625"	"High"	" High"	"0.810"	"-0.30"	"1018985.4676006861"	" 1276587.625"
"-1510325841882319416"	"RSAN_026387.P26022"	"110139.0219080223"	" 149632.74739583334"	"High"	" High"	"0.723"	"-0.47"	"110139.0219080223"	" 149632.74739583334"
"-1474232858512735173"	"RSAN_043047.P46990"	"180498.94050446816"	" 197174.890625"	"High"	" High"	"1.023"	"0.03"	"180498.94050446816"	" 197174.890625"
"-1429800695201573838"	"RSAN_053306.P60527"	"341903.5093046651"	" 238023.03190104166"	"High"	" High"	"1.066"	"0.09"	"341903.5093046651"	" 238023.03190104166"
"-1389289783902731885"	"RSAN_054998.P62746"	"202304.9417822316"	" 152410.80989583334"	"High"	" High"	"0.729"	"-0.46"	"202304.9417822316"	" 152410.80989583334"
"-1363259219816449263"	"RSAN_044783.P49253"	"268167.04323407076"	" 100170.13020833333"	"High"	" High"	"1.111"	"0.15"	"268167.04323407076"	" 100170.13020833333"
"-1343152945083389707"	"RSAN_031830.P32320"	"1814561.652073017"	" 1815749.7024739583"	"High"	" High"	"0.902"	"-0.15"	"1814561.652073017"	" 1815749.7024739583"
"-1341733830016366789"	"RSAN_057260.P65756"	"713660.8929984001"	" 890574.96875"	"High"	" High"	"0.849"	"-0.24"	"713660.8929984001"	" 890574.96875"
"-1285702685906993957"	"RSAN_027544.P26851"	"1441076.7622483165"	" 2161118.3671875"	"High"	" High"	"0.667"	"-0.58"	"1441076.7622483165"	" 2161118.3671875"
"-1257224279451268569"	"RSAN_038959.P41791"	"55250.21944726101"	" 69110.46484375"	"High"	" High"	"0.944"	"-0.08"	"55250.21944726101"	" 69110.46484375"
"-1232463378410084674"	"RSAN_043418.P47463"	"58631.115999970105"	" 50504.62890625"	"High"	" Peak Found"	"1.621"	"0.70"	"58631.115999970105"	" 50504.62890625"
"-1210654159562198734"	"RSAN_047593.P52946"	"46978.46847267659"	" 106851.1484375"	"Peak Found"	" High"	"0.440"	"-1.19"	"46978.46847267659"	" 106851.1484375"
"-1197899192188715515"	"RSAN_035405.P37023"	"2373471.7275481"	" 1931474.1692708333"	"High"	" High"	"1.013"	"0.02"	"2373471.7275481"	" 1931474.1692708333"
"-1175607862195655127"	"RSAN_058187.P66916"	"50606.70865713137"	" 92488.265625"	"Peak Found"	" High"	"1.024"	"0.03"	"50606.70865713137"	" 92488.265625"
"-1075727563646722432"	"RSAN_028929.P28640"	"77164.33257450645"	" 63995.981770833336"	"Peak Found"	" High"	"1.238"	"0.31"	"77164.33257450645"	" 63995.981770833336"
"-986299871789491761"	"RSAN_029804.P29764"	"55952.48379578931"	" 19276.220703125"	"High"	" Peak Found"	"2.015"	"1.01"	"55952.48379578931"	" 19276.220703125"
"-942272861651150930"	"RSAN_032638.P33443"	"295468.6411278466"	" 223970.27799479166"	"High"	" High"	"1.041"	"0.06"	"295468.6411278466"	" 223970.27799479166"
"-879227759460781059"	"RSAN_033864.P35042"	"182570.45515127748"	" 93454.84244791667"	"High"	" High"	"1.767"	"0.82"	"182570.45515127748"	" 93454.84244791667"
"-850537060021265376"	"RSAN_050657.P56996"	"157541.94858355206"	" 153292.513671875"	"High"	" High"	"1.118"	"0.16"	"157541.94858355206"	" 153292.513671875"
"-750796104489840268"	"RSAN_041029.P44382"	"241486.54714971516"	" 281177.75"	"High"	" Peak Found"	"0.859"	"-0.22"	"241486.54714971516"	" 281177.75"
"-749528199883963274"	"RSAN_057446.P65982"	"2168750.9533440513"	" 1908210.533203125"	"Peak Found"	" High"	"1.101"	"0.14"	"2168750.9533440513"	" 1908210.533203125"
"-743502201164967224"	"RSAN_031655.P32089"	"32014.316605793963"	" 37630.151041666664"	"Peak Found"	" High"	"0.822"	"-0.28"	"32014.316605793963"	" 37630.151041666664"
"-740040916858927460"	"RSAN_036144.P38068"	"475039.82650754065"	" 236398.078125"	"High"	" High"	"1.061"	"0.09"	"475039.82650754065"	" 236398.078125"
"-732405196327155240"	"RSAN_053695.P61019"	"51098.67434272654"	" 67703.48958333333"	"Peak Found"	" High"	"0.886"	"-0.17"	"51098.67434272654"	" 67703.48958333333"
"-703007626879982891"	"RSAN_048071.P53568"	"424407.9842219835"	" 369627.8111979167"	"High"	" Peak Found"	"1.122"	"0.17"	"424407.9842219835"	" 369627.8111979167"
"-693717339924049303"	"RSAN_032023.P32633"	"44000.030904099985"	" 59557.576171875"	"Peak Found"	" High"	"0.792"	"-0.34"	"44000.030904099985"	" 59557.576171875"
"-689394120426699267"	"RSAN_029760.P29711"	"22061146.56515881"	" 24618894.90234375"	"High"	" High"	"1.099"	"0.14"	"22061146.56515881"	" 24618894.90234375"
"-680875002458568376"	"RSAN_044037.P48276"	"121377.32488239351"	" "	"High"	" n/a"	"100.000"	"6.64"	"121377.32488239351"	" "
"-674892916463779808"	"RSAN_029421.P29283"	"893297.0753182815"	" 786919.8391927084"	"High"	" High"	"1.061"	"0.09"	"893297.0753182815"	" 786919.8391927084"
"-602904118095009789"	"RSAN_057876.P66523"	"208942695.14867783"	" 335760234.6848958"	"High"	" High"	"0.960"	"-0.06"	"208942695.14867783"	" 335760234.6848958"
"-579338117551704458"	"RSAN_057501.P66064"	"306760.3501450831"	" 298359.3125"	"High"	" High"	"1.028"	"0.04"	"306760.3501450831"	" 298359.3125"
"-577936204557264640"	"RSAN_039183.P42069"	"486742.28858683986"	" 182716.57682291666"	"Peak Found"	" High"	"1.451"	"0.54"	"486742.28858683986"	" 182716.57682291666"
"-533763345848804187"	"RSAN_056592.P64886"	"56243.331342067606"	" 76487.62890625"	"Peak Found"	" High"	"0.681"	"-0.56"	"56243.331342067606"	" 76487.62890625"
"-510490139066553704"	"RSAN_026524.P67802"	"856736.7982796291"	" 165029.78255208334"	"High"	" High"	"1.025"	"0.04"	"856736.7982796291"	" 165029.78255208334"
"-506865252044902874"	"RSAN_056863.P65252"	"48725.34220192798"	" 39175.20703125"	"Peak Found"	" High"	"1.244"	"0.31"	"48725.34220192798"	" 39175.20703125"
"-505221410666254010"	"RSAN_052595.P59584"	"123234.17233744719"	" 127435.16145833333"	"Peak Found"	" High"	"1.062"	"0.09"	"123234.17233744719"	" 127435.16145833333"
"-491756815418215774"	"RSAN_032023.P32627"	"44000.030904099985"	" 59557.576171875"	"Peak Found"	" High"	"0.792"	"-0.34"	"44000.030904099985"	" 59557.576171875"
"-478702268360005425"	"RSAN_039782.P42788"	"45377.864116700395"	" 54222.185546875"	"Peak Found"	" High"	"0.833"	"-0.26"	"45377.864116700395"	" 54222.185546875"
"-425255037898273227"	"RSAN_049482.P55496"	"204382.444678423"	" 146046.21875"	"High"	" High"	"1.096"	"0.13"	"204382.444678423"	" 146046.21875"
"-407380915074733064"	"RSAN_038834.P41631"	""	" "	"High"	" n/a"	""	""	""	" "
"-405564460165976715"	"RSAN_042039.P45705"	"29194.180342503183"	" 41079.04296875"	"Peak Found"	" High"	"0.712"	"-0.49"	"29194.180342503183"	" 41079.04296875"
"-400800387598348561"	"RSAN_043211.P47222"	"39869.30633241513"	" 48163.7421875"	"Peak Found"	" High"	"0.828"	"-0.27"	"39869.30633241513"	" 48163.7421875"
"-395006804168189814"	"RSAN_051744.P58428"	"1749742.1760751877"	" 2122627.0013020835"	"High"	" High"	"0.952"	"-0.07"	"1749742.1760751877"	" 2122627.0013020835"
"-350799256897101530"	"Q9NSB2"	"538444.5633933301"	" 119895.765625"	"High"	" High"	"4.454"	"2.16"	"538444.5633933301"	" 119895.765625"
"-333364077704994559"	"RSAN_038798.P41586"	"3897108.094536061"	" 5807205.296875"	"High"	" High"	"0.786"	"-0.35"	"3897108.094536061"	" 5807205.296875"
"-293312261837264959"	"RSAN_041486.P44969"	"65104.46901527653"	" 106876.4921875"	"High"	" Peak Found"	"0.609"	"-0.72"	"65104.46901527653"	" 106876.4921875"
"-281065237753288038"	"RSAN_056274.P64415"	"3332569.1268826337"	" 4126482.6471354165"	"High"	" High"	"0.876"	"-0.19"	"3332569.1268826337"	" 4126482.6471354165"
"-260035808849679011"	"RSAN_031345.P31672"	"72989.78802153312"	" 83312.390625"	"High"	" High"	"0.808"	"-0.31"	"72989.78802153312"	" 83312.390625"
"-183635151536430907"	"RSAN_034742.P36175"	"2092220.3550378114"	" 2199547.3880208335"	"Peak Found"	" High"	"1.032"	"0.05"	"2092220.3550378114"	" 2199547.3880208335"
"-159133866762981123"	"RSAN_031839.P32335"	""	" "	"n/a"	" High"	""	""	""	" "
"-157690880489887241"	"RSAN_054719.P62366"	"876750.1525543012"	" 191846.92122395834"	"High"	" Peak Found"	"5.612"	"2.49"	"876750.1525543012"	" 191846.92122395834"
"-47478992291964326"	"RSAN_039409.P42325"	"476507.19656950975"	" 783749.923828125"	"High"	" High"	"0.809"	"-0.31"	"476507.19656950975"	" 783749.923828125"
"-23361153195432388"	"RSAN_031839.P32337"	""	" "	"n/a"	" High"	""	""	""	" "
"20115285064353169"	"RSAN_047874.P53299"	"10089465.867619755"	" 10660586.564453125"	"High"	" High"	"1.330"	"0.41"	"10089465.867619755"	" 10660586.564453125"
"59751649013610112"	"RSAN_032437.P33194"	"1033664.9848211976"	" 1175024.9794921875"	"High"	" High"	"0.958"	"-0.06"	"1033664.9848211976"	" 1175024.9794921875"
"64783820296475158"	"RSAN_056289.P64452"	"66821.22693151684"	" 85902.21158854167"	"High"	" High"	"1.012"	"0.02"	"66821.22693151684"	" 85902.21158854167"
"227168851729234031"	"RSAN_051508.P58115"	"61279.25505605899"	" 76621.82421875"	"Peak Found"	" High"	"0.756"	"-0.40"	"61279.25505605899"	" 76621.82421875"
"246345631854111172"	"RSAN_048071.P53570"	"424407.9842219835"	" 369627.8111979167"	"High"	" Peak Found"	"1.122"	"0.17"	"424407.9842219835"	" 369627.8111979167"
"263510647353045900"	"RSAN_036032.P37936"	"2389880.411951943"	" 7163220.75"	"Peak Found"	" High"	"0.334"	"-1.58"	"2389880.411951943"	" 7163220.75"
"294036434271389261"	"RSAN_028848.P28530"	"3479668.300846148"	" 2675337.90625"	"High"	" High"	"1.227"	"0.30"	"3479668.300846148"	" 2675337.90625"
"319885863938781140"	"RSAN_031761.P32234"	"49305.969475106336"	" 53686.8515625"	"High"	" Peak Found"	"0.758"	"-0.40"	"49305.969475106336"	" 53686.8515625"
"366917578481691879"	"RSAN_038175.P40768"	"1289130.0948180347"	" 1112391.328125"	"High"	" High"	"1.685"	"0.75"	"1289130.0948180347"	" 1112391.328125"
"423094131134466907"	"RSAN_040867.P44162"	"458504.6726107788"	" 355162.359375"	"Peak Found"	" High"	"1.291"	"0.37"	"458504.6726107788"	" 355162.359375"
"459345760038442523"	"RSAN_036299.P38272"	"54096.65456194602"	" 49828.985677083336"	"High"	" High"	"0.876"	"-0.19"	"54096.65456194602"	" 49828.985677083336"
"530994277195209102"	"RSAN_034143.P35398"	"386745.3314972814"	" 253964.76822916666"	"High"	" High"	"1.115"	"0.16"	"386745.3314972814"	" 253964.76822916666"
"628118096802780895"	"RSAN_032023.P32608"	"44000.030904099985"	" 59557.576171875"	"Peak Found"	" High"	"0.792"	"-0.34"	"44000.030904099985"	" 59557.576171875"
"691336329078390742"	"RSAN_042201.P45904"	"2014176.113037776"	" 2716278.62890625"	"Peak Found"	" High"	"0.935"	"-0.10"	"2014176.113037776"	" 2716278.62890625"
"758461907597973429"	"RSAN_045053.P49599"	"1982093.6081900736"	" 2058869.841796875"	"High"	" High"	"1.104"	"0.14"	"1982093.6081900736"	" 2058869.841796875"
"761529700560413585"	"RSAN_038804.P41596"	""	" "	"n/a"	" High"	""	""	""	" "
"805427031452541331"	"RSAN_026524.P67812"	"856736.7982796291"	" 165029.78255208334"	"High"	" High"	"1.025"	"0.04"	"856736.7982796291"	" 165029.78255208334"
"879652846277239258"	"RSAN_048922.P54714"	"184821.2336231341"	" 162468.53385416666"	"High"	" High"	"1.095"	"0.13"	"184821.2336231341"	" 162468.53385416666"
"880429657866936427"	"RSAN_039996.P43053"	"1788603.7682286755"	" 639595.2421875"	"High"	" High"	"1.064"	"0.09"	"1788603.7682286755"	" 639595.2421875"
"899445760766784030"	"RSAN_058066.P66771"	"141910.48789256925"	" 117743.98177083333"	"High"	" High"	"0.799"	"-0.32"	"141910.48789256925"	" 117743.98177083333"
"919440185270486653"	"RSAN_052590.P59573"	"1691479.7957090132"	" 465341.91796875"	"Peak Found"	" High"	"0.915"	"-0.13"	"1691479.7957090132"	" 465341.91796875"
"1040560807640159574"	"RSAN_048071.P53579"	"424407.9842219835"	" 369627.8111979167"	"High"	" Peak Found"	"1.122"	"0.17"	"424407.9842219835"	" 369627.8111979167"
"1044783654109854251"	"RSAN_039642.P42622"	"75070.8746284794"	" 79181.13541666667"	"High"	" High"	"1.114"	"0.16"	"75070.8746284794"	" 79181.13541666667"
